time,phase_A,phase_B,phase_C
3.39,5.423939442567287,5.439981877333977,5.373878680098737
3.4,5.434060118077705,5.450068381601079,5.383871500321218
3.41,5.444179599472193,5.4601544474555315,5.393865953072277
3.42,5.454297913158064,5.4702400845892525,5.403862002252684
3.43,5.464415084958478,5.480325302479671,5.413859612561851
3.44,5.474531140125365,5.490410110394493,5.423858749480142
3.45,5.484646103352065,5.500494517396354,5.433859379251581
3.46,5.494759998785688,5.5105785323473695,5.443861468866943
3.47,5.5048728500392,5.5206621639135856,5.453864986047215
3.48,5.5149846802032405,5.530745420569327,5.463869899227432
3.49,5.5250955118576845,5.5408283106014515,5.473876177540864
3.5,5.535205367082937,5.5509108421135025,5.483883790803561
3.5100000000000002,5.545314267470989,5.56099302302978,5.493892709499232
3.52,5.555422234136224,5.571074861099309,5.503902904764467
3.5300000000000002,5.565529287725987,5.581156363899727,5.513914348374286
3.54,5.575635448430914,5.591237538841085,5.5239270127280005
3.5500000000000003,5.585740735995042,5.6013183931695565,5.5339408708354005
3.56,5.595845169725689,5.6113989339710715,5.543955896303238
3.5700000000000003,5.605948768503118,5.621479168174867,5.553972063322013
3.58,5.616051550789984,5.631559102556957,5.563989346653057
3.59,5.6261535346405775,5.641638743743527,5.574007721615893
3.6,5.636254737709856,5.651718098214252,5.58402716407589
3.61,5.646355177262284,5.661797172305541,5.594047650432173
3.62,5.656454870180469,5.671875972213711,5.604069157605817
3.63,5.666553832973615,5.681954503998087,5.614091663028296
3.64,5.676652081785779,5.6920327735840335,5.624115144630186
3.65,5.686749632403955,5.702110786765924,5.634139580830119
3.66,5.696846500265971,5.712188549210037,5.64416495052399
3.67,5.706942700468216,5.722266066457394,5.654191233074388
3.68,5.717038247773193,5.732343343926528,5.664218408300276
3.69,5.727133156616909,5.742420386916199,5.67424645646689
3.7,5.7372274411160955,5.752497200608038,5.6842753582758645
3.71,5.747321115075274,5.762573790069145,5.6943050948555785
3.72,5.757414191993663,5.772650160254619,5.704335647751715
3.73,5.767506685071933,5.782726316010038,5.714366998918026
3.74,5.777598607218812,5.79280226207388,5.724399130707305
3.75,5.787689971057542,5.802878003079893,5.734432025862562
3.7600000000000002,5.797780788932199,5.812953543559413,5.744465667508386
3.77,5.807871072913865,5.823028887943625,5.754500039142509
3.7800000000000002,5.817960834806669,5.833104040565784,5.764535124627546
3.79,5.828050086153696,5.843179005663376,5.774570908182928
3.8000000000000003,5.838138838242756,5.853253787380236,5.784607374377006
3.81,5.848227102112037,5.863328389768625,5.794644508119337
3.8200000000000003,5.858314888555623,5.873402816791246,5.804682294653129
3.83,5.868402208128898,5.88347707232323,5.81472071954787
3.84,5.878489071153822,5.8935511601540735,5.824759768692103
3.85,5.888575487724098,5.9036250839895255,5.834799428286375
3.86,5.8986614677102205,5.913698847453446,5.844839684836331
3.87,5.908747020764414,5.923772454089612,5.854880525145972
3.88,5.918832156325459,5.933845907363489,5.864921936311049
3.89,5.928916883623417,5.943919210663964,5.874963905712617
3.9,5.939001211684243,5.953992367305035,5.88500642101072
3.91,5.949085149334304,5.964065380527471,5.895049470138224
3.92,5.959168705204793,5.974138253500424,5.90509304129478
3.93,5.969251887736047,5.984210989323021,5.915137122940929
3.94,5.979334705181766,5.994283591025903,5.925181703792328
3.95,5.989417165613143,6.004356061572745,5.935226772814109
3.96,5.9994992769229025,6.014428403861731,5.945272319215363
3.97,6.009581046829244,6.024500620727008,5.955318332443745
3.98,6.019662482879707,6.0345727149400945,5.965364802180195
3.99,6.029743592454942,6.044644689211268,5.9754117183337865
4.0,6.039824382772403,6.054716546190919,5.985459071036674
4.01,6.049904860889959,6.064788288470874,5.995506850639163
4.0200000000000005,6.05998503370942,6.0748599185856875,6.005555047704889
4.03,6.070064907979992,6.084931439013911,6.015603653006094
4.04,6.08014449030165,6.095002852179328,6.025652657519019
4.05,6.090223787128439,6.105074160452168,6.03570205241939
4.0600000000000005,6.100302804771702,6.115145366150284,6.045751829078011
4.07,6.110381549403237,6.125216471540316,6.055801979056444
4.08,6.120460027058382,6.135287478838818,6.065852494102797
4.09,6.130538243639031,6.145358390213368,6.075903366147598
4.1,6.140616204916591,6.155429207783649,6.085954587299757
